functional_domain,storage_zone,job_id,relationship,dataset
M80CDO,RAWDATA,m80cdo-ugwnpfdc-wcrtyfzgmgid,INPUT,d_m80cdo_2903
M80CDO,MASTERDATA,m80cdo-ugwnpfdc-wcrtyfzgmgid,OUTPUT,d_m80cdo_2903
M80CDO,MASTERDATA,m80cdo-forboggg-owqaysecvusu,OUTPUT,d_m80cdo_2904
M80CDO,RAWDATA,m80cdo-forboggg-owqaysecvusu,INPUT,d_m80cdo_2904
M80CDO,STAGING IN,m80cdo-eiipnkbk-pifcbtiiosdv,INPUT,d_m80cdo_87
M80CDO,RAWDATA,m80cdo-eiipnkbk-pifcbtiiosdv,OUTPUT,d_m80cdo_2903
M80CDO,STAGING IN,m80cdo-ghqzkcyd-sxgkyzrdjpmk,INPUT,d_m80cdo_88
M80CDO,RAWDATA,m80cdo-ghqzkcyd-sxgkyzrdjpmk,OUTPUT,d_m80cdo_2904
M80CDO,STAGING IN,m80cdo-uewwotzv-zzxpcdkvxqus,INPUT,d_m80cdo_87
M80CDO,RAWDATA,m80cdo-uewwotzv-zzxpcdkvxqus,INPUT,d_m80cdo_2903
M80CDO,MASTERDATA,m80cdo-uewwotzv-zzxpcdkvxqus,OUTPUT,d_m80cdo_2015
M80CDO,MASTERDATA,m80cdo-nfoktlhl-apljkieryqxm,OUTPUT,d_m80cdo_2015
M80CDO,RAWDATA,m80cdo-nfoktlhl-apljkieryqxm,INPUT,d_m80cdo_2903
M80CDO,MASTERDATA,m80cdo-nfoktlhl-apljkieryqxm,INPUT,d_m80cdo_2903
M80CDO,STAGING IN,m80cdo-wgepysov-jpkswlznxyyg,INPUT,d_m80cdo_88
M80CDO,RAWDATA,m80cdo-wgepysov-jpkswlznxyyg,INPUT,d_m80cdo_2904
M80CDO,MASTERDATA,m80cdo-wgepysov-jpkswlznxyyg,OUTPUT,d_m80cdo_2015
M80CDO,MASTERDATA,m80cdo-rlqdfquc-jeftmtytbcoc,OUTPUT,d_m80cdo_2015
M80CDO,RAWDATA,m80cdo-rlqdfquc-jeftmtytbcoc,INPUT,d_m80cdo_2904
M80CDO,MASTERDATA,m80cdo-rlqdfquc-jeftmtytbcoc,INPUT,d_m80cdo_2904
8C59OY,RAWDATA,8c59oy-jzgqjtjj-hrrgpupnxoru,INPUT,d_8c59oy_4259
8C59OY,MASTERDATA,8c59oy-jzgqjtjj-hrrgpupnxoru,OUTPUT,d_8c59oy_2907
8C59OY,RAWDATA,8c59oy-wztskuca-rzigyzrukyzg,INPUT,d_8c59oy_4201
8C59OY,MASTERDATA,8c59oy-wztskuca-rzigyzrukyzg,OUTPUT,d_8c59oy_2905
8C59OY,MASTERDATA,8c59oy-cyzucqst-xjadpfdgrhex,OUTPUT,d_8c59oy_2906
8C59OY,RAWDATA,8c59oy-cyzucqst-xjadpfdgrhex,INPUT,d_8c59oy_3124
8C59OY,RAWDATA,8c59oy-nzocpnea-gyeozdcyfbcr,OUTPUT,d_8c59oy_4259
8C59OY,STAGING IN,8c59oy-nzocpnea-gyeozdcyfbcr,INPUT,d_8c59oy_418
8C59OY,STAGING IN,8c59oy-vxlpkwpv-kprxhdzbxxmn,INPUT,d_8c59oy_421
8C59OY,RAWDATA,8c59oy-vxlpkwpv-kprxhdzbxxmn,OUTPUT,d_8c59oy_4201
8C59OY,RAWDATA,8c59oy-ipnrslbj-zsjbdclpgpie,OUTPUT,d_8c59oy_3124
8C59OY,STAGING IN,8c59oy-ipnrslbj-zsjbdclpgpie,INPUT,d_8c59oy_148
8C59OY,STAGING IN,8c59oy-odryjtmw-zlsroobfuozp,INPUT,d_8c59oy_149
8C59OY,MASTERDATA,8c59oy-odryjtmw-zlsroobfuozp,OUTPUT,d_8c59oy_2015
51P07G,MASTERDATA,51p07g-onacxvhw-bwfxlvaawlcm,OUTPUT,d_51p07g_2908
51P07G,RAWDATA,51p07g-onacxvhw-bwfxlvaawlcm,INPUT,d_51p07g_5128
51P07G,MASTERDATA,51p07g-pmbnkeiq-vgnfnarjrfhp,OUTPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-pmbnkeiq-vgnfnarjrfhp,INPUT,d_51p07g_5311
51P07G,MASTERDATA,51p07g-pmbnkeiq-vgnfnarjrfhp,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-pmbnkeiq-vgnfnarjrfhp,INPUT,d_51p07g_4983
51P07G,MASTERDATA,51p07g-mlcjvfdq-qszbziiogcxq,INPUT,d_51p07g_4983
51P07G,MASTERDATA,51p07g-mlcjvfdq-qszbziiogcxq,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-mlcjvfdq-qszbziiogcxq,OUTPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-mlcjvfdq-qszbziiogcxq,INPUT,d_51p07g_5308
51P07G,MASTERDATA,51p07g-mqslknab-wydokeelckxi,OUTPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-mqslknab-wydokeelckxi,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-mqslknab-wydokeelckxi,INPUT,d_51p07g_4983
51P07G,MASTERDATA,51p07g-mqslknab-wydokeelckxi,INPUT,d_51p07g_5311
51P07G,RAWDATA,51p07g-qpxoxgxq-odsvandpyjva,INPUT,d_51p07g_4205
51P07G,MASTERDATA,51p07g-qpxoxgxq-odsvandpyjva,OUTPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-qpxoxgxq-odsvandpyjva,INPUT,d_51p07g_4976
51P07G,RAWDATA,51p07g-qeaeftow-wulrcbtmksxp,INPUT,d_51p07g_3331
51P07G,MASTERDATA,51p07g-qeaeftow-wulrcbtmksxp,OUTPUT,d_51p07g_2910
51P07G,MASTERDATA,51p07g-blmwmehx-cemyetydzksh,OUTPUT,d_51p07g_2911
51P07G,RAWDATA,51p07g-blmwmehx-cemyetydzksh,INPUT,d_51p07g_3332
51P07G,MASTERDATA,51p07g-einsvgvw-xpdbwxcpzheq,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-einsvgvw-xpdbwxcpzheq,OUTPUT,d_51p07g_2909
51P07G,RAWDATA,51p07g-einsvgvw-xpdbwxcpzheq,INPUT,d_51p07g_5128
51P07G,RAWDATA,51p07g-ytddsmwv-kalaoaduvnux,INPUT,d_51p07g_5128
51P07G,MASTERDATA,51p07g-ytddsmwv-kalaoaduvnux,OUTPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-ytddsmwv-kalaoaduvnux,INPUT,d_51p07g_4976
51P07G,STAGING IN,51p07g-imzyamgo-pzihuuoqjdph,INPUT,d_51p07g_406
